970000,4,11.3,1,4,11.3,1,4,1978,1,2.5,1
1300000,7,20,1,1,32,0,4,1960,0,2.5,1
1300000,6,17,1,2,17,0,7,1960,0,2.5,1
1300000,6,12,1,3,18.2,0,4,1960,0,2.5,1
1349000,4,13,1,4,15.1,0,4,1960,0,2.5,1
1350000,4,11,1,2,17,0,7.9,1960,0,2.5,1
1360000,5,15,1,2,15,0,1.7,1968,0,2.5,1
1380000,6,17,1,2,20,0,7,1968,0,2.5,1
1380000,6,16,1,2,20,0,7,1968,0,2.5,1
1449000,6,20,1,2,20,0,7.4,1968,0,3,1
1500000,7,19,1,2,32,0,4,1968,0,2.5,1
1650000,3,16.7,1,4,16.7,0,10,1968,0,2.5,1
1650000,7,11,1,5,18,0,4,1971,0,2.5,1
1650000,5,18,1,4,19,0,1.1,1971,0,2.5,1
1700000,3,17,1,3,17,0,10,1971,0,2.5,1
1750000,3,17,1,3,17,0,10,1971,0,2.5,1
1780000,2,23,1,2,36,0,7.6,1958,0,3,1
1800000,7,17,1,3,31,0,13.1,1958,1,2.5,1
1870000,5,27,1,3,27,0,1.1,1958,0,2.5,1
1900000,2,18,1,5,18,0,7.1,1958,0,2.5,1
1940000,7,25,2,1,30.4,0,7,1958,0,3,1
1940000,5,18.5,1,4,41,0,17,2010,1,2.6,1
2000000,5,18.3,1,2,38,0,17,1958,1,2.65,1
2000000,7,19,1,4,31,0,7,1966,1,2.6,1
2000000,7,17,1,2,30,0,6.5,1955,1,2.8,1
2000000,7,20,1,2,20,0,1.1,1975,1,2.8,1
2049000,6,16,1,5,29.7,0,4.8,1975,1,2.5,1
2250000,6,11,1,6,21,1,7.6,1975,0,2.5,1
2400000,6,29,1,2,29,0,10,1975,0,2.5,1
2450000,7,18,1,1,31,1,5,1975,0,2.5,1
2500000,7,17,1,1,31,0,5,1974,0,2.5,1
2500000,7,17,1,17,38,1,13,2017,1,2.5,1
2500000,3,30,1,2,30,0,7,1976,1,2.5,1
2549000,3,17,1,2,32,0,7,1964,1,2.6,1
2550000,4,35,1,5,35,0,1.1,1964,0,2.5,1
2550000,4,10,1,3,32,0,1.1,1964,0,2.5,1
2590000,7,18,1,4,32,0,10,1970,1,2.6,1
2600000,3,31,2,1,45,0,3,1970,1,2.5,1
2600000,3,17.5,1,2,31.2,0,7,1969,0,2.6,1
2650000,7,20,1,2,43,0,7,1969,1,2.5,1
2699000,2,18,1,2,30,0,8,1963,0,2.5,1
2750000,5,16,1,5,32,0,0.6,1972,1,2.5,1
2750000,2,17,1,2,31,0,7,1965,0,2.65,1
2770000,2,19,1,3,36,1,7,1985,1,2.5,1
2800000,5,25.3,2,4,42.7,1,8,1985,1,2.5,1
2850000,3,29,2,5,42,0,3,1960,1,2.45,1
2850000,7,30,2,3,44,0,5,1960,1,2.5,1
2850000,3,48.9,2,2,48.9,0,4,1960,0,2.5,1
2900000,5,18,1,1,38,1,5,1984,1,2.5,1
2900000,3,36,1,5,36,1,3.6,1984,1,2.5,0
3000000,4,19.5,1,1,36.1,0,7.2,1985,1,2.5,1
3050000,2,18,1,2,39,1,5.5,1986,1,2.5,1
3050000,3,17,1,2,39,1,4.4,2000,1,2.5,1
3100000,5,19,1,17,40,1,4,2018,1,2.5,1
3100000,5,40,2,2,60,0,5.1,1985,0,2.5,1
3140000,3,31,2,2,46,0,2.7,1969,1,2.6,1
3150000,7,45,2,4,45,0,4.5,1969,1,2.5,1
3150000,7,51.4,2,4,51.4,0,6,1969,1,2.5,1
3199000,3,29,2,4,45,0,1.7,1966,1,2.6,1
3199000,4,19,1,3,40,1,8.7,1979,1,2.5,1
3200000,5,17.4,1,1,37.4,1,6,1979,1,2.5,1
3250000,5,14,1,21,37,1,2,2019,1,2.5,1
3300000,2,17,1,4,34,1,2.4,1982,1,2.5,1
3400000,7,64.8,2,12,64.8,1,6,1982,1,2.5,1
3450000,2,29,2,2,50,1,3.9,1982,1,2.5,1
3450000,5,25,1,1,36,0,6,1980,1,2.5,1
3450000,6,16,1,6,45,1,1,2008,1,2.6,1
3490000,2,42,2,2,42,0,7.3,1964,1,2.6,1
3500000,1,28,2,2,45,0,1.5,1962,1,2.7,1
3500000,3,58.5,3,1,58.5,0,0.7,1968,1,2.5,1
3500000,5,30,2,3,45,0,0.4,1974,1,2.65,1
3500000,2,17,1,6,34,1,2.1,1994,1,2.5,1
3500000,3,17,1,2,35,1,3.8,2000,1,2.5,1
