970000,4,11.3,1,4,11.3,1,4,1978,1,2.5,1
2500000,7,17,1,17,38,1,13,2017,1,2.5,1
2770000,2,19,1,3,36,1,7,1985,1,2.5,1
2800000,5,25.3,2,4,42.7,1,8,1985,1,2.5,1
2900000,5,18,1,1,38,1,5,1984,1,2.5,1
2900000,3,36,1,5,36,1,3.6,1984,1,2.5,0
3050000,2,18,1,2,39,1,5.5,1986,1,2.5,1
3050000,3,17,1,2,39,1,4.4,2000,1,2.5,1
3100000,5,19,1,17,40,1,4,2018,1,2.5,1
3199000,4,19,1,3,40,1,8.7,1979,1,2.5,1
3200000,5,17.4,1,1,37.4,1,6,1979,1,2.5,1
3250000,5,14,1,21,37,1,2,2019,1,2.5,1
3300000,2,17,1,4,34,1,2.4,1982,1,2.5,1
3450000,2,29,2,2,50,1,3.9,1982,1,2.5,1
3450000,6,16,1,6,45,1,1,2008,1,2.6,1
3500000,2,17,1,6,34,1,2.1,1994,1,2.5,1
3500000,3,17,1,2,35,1,3.8,2000,1,2.5,1
3550000,2,27,1,6,38,1,3.1,1962,1,2.5,0
3600000,3,18,1,4,47.9,1,2.4,2006,1,2.5,1
3650000,3,18,1,1,45,1,4.7,1974,1,2.5,1
3700000,3,34,1,7,34,1,8,2018,1,2.5,1
3750000,2,18,1,7,42,1,3.6,1998,1,2.5,1
3799000,3,45,1,4,45,1,4.5,1974,1,2.5,1
3850000,3,31,1,8,31,1,3,2018,1,2.5,1
3850000,7,18,1,8,43,1,1.6,2018,1,2.5,1
3870000,2,17,1,8,33,1,2.5,1993,1,2.5,1
3870000,3,30,2,3,53,1,2.8,1996,1,2.5,1
